"endTime","artistName","trackName","msPlayed"
"2022-05-13 12:11","Nuestro Día","Dark-ta Duda: la falopa más fresca del condado ",0
"2022-05-13 12:51","Nuestro Día","Dark-ta Duda: la falopa más fresca del condado ",2027707
"2022-05-13 13:46","Nuestro Día","La lucha transfeminista de “la karateca” ",2562416
"2022-05-13 14:38","Nuestro Día","Nuestra agenda del miércoles 11 de mayo ",1833170
"2022-05-13 14:46","Nuestro Día","¿Por qué suben los casos de COVID en Argentina? ",449075
"2022-05-13 15:09","Nuestro Día","El sistema K.E.OP/S, el estreno argentino de la semana",1310582
"2022-05-13 15:30","Nuestro Día","¿Cómo elegir profesionales de la psicología con criterio científico?",1291355
"2022-05-13 15:48","Nuestro Día","Las cacartas de Mozart",1062896
"2022-05-13 16:05","Nuestro Día","Instrucciones para escribir un libro (o no), con La Cope",988459
"2022-05-14 00:03","La Contra","No Me Enseñaste",182185
"2022-05-14 00:06","La Contra","Adicto a Tu Piel",199399
"2022-05-14 00:07","Mario Pereyra y Su Banda","Nada",23105
"2022-05-14 00:09","La Nueva Luna","Como Fui a Enamorarme de Ti",136753
"2022-05-14 00:12","L-Gante","Uno Mas Uno - Original",195884
"2022-05-14 00:15","Leo Mattioli","Me Preocupa, Sin Ti",187432
"2022-05-14 00:17","La Contra","Me Puedes de Punta a Punta",83698
"2022-05-14 00:20","Sabroso","De Qué Te Vale",202081
"2022-05-14 00:25","Pipe Calderón","Vaina Loca - Remix",5921
"2022-05-14 00:25","Ryan Castro","Monastery",35122
"2022-05-14 00:25","Aventura","Todavía Me Amas",285226
"2022-05-14 00:26","Fenix The Producer","Provocarme",40255
"2022-05-14 00:26","Piso 21","Tan Bonita",1468
"2022-05-14 00:26","Feid","SI TÚ SUPIERAS - Bonus Track",1852
"2022-05-14 00:26","Yera","Bachata Blue",852
"2022-05-14 00:27","Chanell","Que Importa",525
"2022-05-14 00:27","Gigolo Y La Exce","Chantaje",208
"2022-05-14 00:27","Gigolo Y La Exce","Chantaje",0
"2022-05-14 00:27","Nova y Jory","Besame",5695
"2022-05-14 00:27","Mora","Volando - Remix",593
"2022-05-14 00:27","Mora","Volando - Remix",14427
"2022-05-14 00:27","Sebastian Yatra","Tacones Rojos",340
"2022-05-14 00:27","Aventura","Enseñame a Olvidar",29554
"2022-05-14 00:27","Brytiago","Desnudarte",910
"2022-05-14 00:27","Grupo Extra","Lejos de Ti",647
"2022-05-14 00:31","Lirow","Se Va a Beber",8362
"2022-05-14 00:31","Manuel Turizo","Mala Costumbre",230714
"2022-05-14 00:35","Aventura","El Perdedor",215203
"2022-05-14 00:38","TINI","Maldita Foto",1397
"2022-05-14 00:38","Andy Rivera","Fuego",13196
"2022-05-14 00:38","Javiielo","BRÚJULA",183113
"2022-05-14 00:38","Grupo Extra","Hoy Se Bebe - Bachata Version",3278
"2022-05-14 00:38","Tainy","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",6776
"2022-05-14 02:52","Bersuit Vergarabat","Convalescencia En Valencia",297356
"2022-05-14 02:57","Bersuit Vergarabat","El Tiempo No Para - Live In Buenos Aires / 2001",321640
"2022-05-14 02:58","Intoxicados","Se Fue Al Cielo",3278
"2022-05-14 02:58","Attaque 77","Arrancacorazones - Acústico en Vivo",47803
"2022-05-14 03:02","Ciro y los Persas","Luz",1120
"2022-05-14 03:02","Memphis La Blusera","La Última Lágrima",1897
"2022-05-14 03:02","Bersuit Vergarabat","La Soledad",1467
"2022-05-14 03:02","Catupecu Machu","Seguir Viviendo Sin Tu Amor - Acustico",223981
"2022-05-14 03:02","La Vela Puerca","Mi Semilla",5633
"2022-05-14 03:02","Las Pastillas del Abuelo","Rompecabezas de Amor",1536
"2022-05-14 03:02","La 25","25 horas",1078
"2022-05-14 03:02","Ivan Noble","Moscas en la Casa",1333
"2022-05-14 03:07","Kapanga","Amor Secreto",1210
"2022-05-14 03:07","Kapanga","Miro de Atrás",1633
"2022-05-14 03:07","Estelares","Melancolía",1186
"2022-05-14 03:07","Las manos de Filippi","Metete Conmigo",2317
"2022-05-14 03:07","Ivan Noble","Donde Gustes y Cuando Quieras (feat. Vicentico)",1238
"2022-05-14 03:07","Los Piojos","Ando Ganas (Llora Llora)",1052
"2022-05-14 03:07","Las Pastillas del Abuelo","Viejo Karma!",0
"2022-05-14 03:07","Los Caballeros De La Quema","Fulanos de Nadie",747
"2022-05-14 03:07","Bersuit Vergarabat","Sencillamente",2238
"2022-05-14 03:07","Los Piojos","Amor de Perros",1994
"2022-05-14 03:07","Las Pastillas del Abuelo","Ojos de Dragón!",1534
"2022-05-14 03:07","Bersuit Vergarabat","Perro Amor Explota - Live In Buenos Aires / 2001",268840
"2022-05-14 03:07","Las Pelotas","Que Estés Sonriendo",0
"2022-05-14 03:07","Attaque 77","Chance",4453
"2022-05-14 03:11","Onda Vaga","Como Que No?",2115
"2022-05-14 03:11","Attaque 77","María",1176
"2022-05-14 03:11","Bersuit Vergarabat","Esperando El Impacto",217200
"2022-05-14 03:11","Los Gardelitos","Buen Dia, Nena",1841
"2022-05-14 03:11","Juan Carlos Baglietto","Naranjo En Flor",25014
"2022-05-14 03:11","Juan Carlos Baglietto","Naranjo En Flor",7247
"2022-05-14 03:11","Las Pelotas","¿Qué Podés Dar?",715
"2022-05-14 03:11","Las Pastillas del Abuelo","Permiso y Prometo",1535
"2022-05-14 03:11","Las Pastillas del Abuelo","Permiso y Prometo",1048
"2022-05-14 03:12","Attaque 77","Cartonero",1228
"2022-05-14 03:12","Estelares","Alas Rotas",2220
"2022-05-14 03:12","Intoxicados","Noche Con Amigos",1550
"2022-05-14 03:12","Las Pastillas del Abuelo","Candombe de Resacas",1430
